City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,10.53,70,100,11.77,AU,1696200834
1,bethel,41.3712,-73.414,22.47,79,0,1.89,US,1696200678
2,dakoro,14.5106,6.765,28.59,50,56,6.18,NE,1696200834
3,mount isa,-20.7333,139.5,26.87,26,1,4.12,AU,1696200834
4,puerto ayora,-0.7393,-90.3518,29.98,93,96,2.24,EC,1696200834
5,orchard homes,46.8633,-114.0484,12.55,76,100,4.63,US,1696200834
6,poxoreo,-15.8372,-54.3892,29.03,51,73,1.17,BR,1696200835
7,edinburgh of the seven seas,-37.0676,-12.3116,10.41,58,90,9.93,SH,1696200835
8,haverfordwest,51.8017,-4.9691,17.53,100,100,3.35,GB,1696200835
9,port-aux-francais,-49.35,70.2167,6.21,91,100,19.22,TF,1696200835
10,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,100,100,4.0,RU,1696200835
11,bandarbeyla,9.4942,50.8122,25.57,88,22,5.77,SO,1696200835
12,adamstown,-25.066,-130.1015,20.4,82,11,11.34,PN,1696200835
13,balakliya,49.4627,36.8595,16.74,39,58,3.07,UA,1696200835
14,coahuayana de hidalgo,18.7,-103.6583,30.2,78,95,2.14,MX,1696200835
15,la passe,45.5549,-0.8967,19.13,61,54,2.92,FR,1696200836
16,nova vicosa,-17.8919,-39.3719,22.95,73,36,5.5,BR,1696200836
17,blackmans bay,-43.0167,147.3167,12.63,66,72,3.81,AU,1696200836
18,diffa,13.3154,12.6113,27.34,56,94,1.57,NE,1696200836
19,thunder bay,48.4001,-89.3168,16.99,100,100,6.69,CA,1696200566
20,dong ha,16.8163,107.1003,24.47,93,30,1.27,VN,1696200836
21,longyearbyen,78.2186,15.6401,-3.09,59,75,9.26,SJ,1696200836
22,invercargill,-46.4,168.35,13.9,67,63,4.02,NZ,1696200660
23,garissa,-0.4536,39.6401,24.53,68,6,7.51,KE,1696200836
24,carbonear,47.7332,-53.2148,14.68,87,11,5.76,CA,1696200836
25,byron bay,-28.65,153.6167,23.83,53,0,5.89,AU,1696200837
26,shahrak,34.1074,64.3052,3.85,50,0,1.14,AF,1696200837
27,port lincoln,-34.7333,135.8667,16.48,62,0,5.1,AU,1696200837
28,abadeh,31.1608,52.6506,16.41,22,0,2.15,IR,1696200837
29,olonkinbyen,70.9221,-8.7187,-0.04,85,100,6.37,SJ,1696200837
30,badger,64.8,-147.5333,10.14,55,100,0.0,US,1696200837
31,grytviken,-54.2811,-36.5092,3.46,79,1,5.01,GS,1696200837
32,waitangi,-43.9535,-176.5597,14.34,87,71,4.02,NZ,1696200837
33,nouadhibou,20.931,-17.0347,28.99,37,70,7.72,MR,1696200837
34,manokwari,-0.8667,134.0833,27.61,78,100,3.35,ID,1696200559
35,komatsu,36.4026,136.4509,17.13,88,40,1.03,JP,1696200838
36,i-n-salah,27.1935,2.4607,29.75,29,0,10.02,DZ,1696200838
37,port mathurin,-19.6833,63.4167,23.07,77,4,6.54,MU,1696200838
38,hamilton,39.1834,-84.5333,28.02,54,0,4.12,US,1696200719
39,armacao de buzios,-22.7469,-41.8817,22.03,98,98,3.67,BR,1696200838
